Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1102,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,447 ppm,,,,12/02/2025 04:06:05 a. m.
1103,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,435 ppm,,,,12/02/2025 04:07:05 a. m.
1104,,27.5 °C,18.1 °C,13.7 °C,42.7 %,0 ppm,427 ppm,,,,12/02/2025 04:08:05 a. m.
1105,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,437 ppm,,,,12/02/2025 04:09:05 a. m.
1106,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,437 ppm,,,,12/02/2025 04:10:05 a. m.
1107,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,439 ppm,,,,12/02/2025 04:11:05 a. m.
1108,,27.5 °C,18.1 °C,13.7 °C,42.7 %,0 ppm,441 ppm,,,,12/02/2025 04:12:05 a. m.
1109,,27.5 °C,18.1 °C,13.7 °C,42.7 %,1 ppm,444 ppm,,,,12/02/2025 04:13:05 a. m.
1110,,27.5 °C,18.1 °C,13.6 °C,42.7 %,1 ppm,435 ppm,,,,12/02/2025 04:14:05 a. m.
1111,,27.5 °C,18.1 °C,13.6 °C,42.7 %,0 ppm,431 ppm,,,,12/02/2025 04:15:05 a. m.
1112,,27.5 °C,18.1 °C,13.6 °C,42.7 %,1 ppm,444 ppm,,,,12/02/2025 04:16:05 a. m.
1113,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,441 ppm,,,,12/02/2025 04:17:05 a. m.
1114,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,433 ppm,,,,12/02/2025 04:18:05 a. m.
1115,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,436 ppm,,,,12/02/2025 04:19:05 a. m.
1116,,27.4 °C,18.0 °C,13.6 °C,42.8 %,0 ppm,432 ppm,,,,12/02/2025 04:20:05 a. m.
1117,,27.4 °C,18.0 °C,13.6 °C,42.8 %,1 ppm,432 ppm,,,,12/02/2025 04:21:05 a. m.
1118,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,436 ppm,,,,12/02/2025 04:22:05 a. m.
1119,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,438 ppm,,,,12/02/2025 04:23:05 a. m.
1120,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,440 ppm,,,,12/02/2025 04:24:05 a. m.
1121,,27.4 °C,18.0 °C,13.6 °C,42.8 %,1 ppm,439 ppm,,,,12/02/2025 04:25:05 a. m.
1122,,27.4 °C,18.0 °C,13.6 °C,42.8 %,0 ppm,434 ppm,,,,12/02/2025 04:26:05 a. m.
1123,,27.4 °C,18.0 °C,13.6 °C,42.8 %,1 ppm,437 ppm,,,,12/02/2025 04:27:05 a. m.
1124,,27.4 °C,18.0 °C,13.6 °C,42.8 %,1 ppm,447 ppm,,,,12/02/2025 04:28:05 a. m.
1125,,27.4 °C,18.0 °C,13.6 °C,42.8 %,0 ppm,430 ppm,,,,12/02/2025 04:29:05 a. m.
1126,,27.4 °C,18.0 °C,13.6 °C,42.8 %,0 ppm,428 ppm,,,,12/02/2025 04:30:05 a. m.
1127,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,436 ppm,,,,12/02/2025 04:31:05 a. m.
1128,,27.4 °C,18.0 °C,13.6 °C,42.8 %,0 ppm,430 ppm,,,,12/02/2025 04:32:05 a. m.
1129,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,431 ppm,,,,12/02/2025 04:33:05 a. m.
1130,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,422 ppm,,,,12/02/2025 04:34:05 a. m.
1131,,27.4 °C,18.0 °C,13.6 °C,42.8 %,1 ppm,441 ppm,,,,12/02/2025 04:35:05 a. m.
1132,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,436 ppm,,,,12/02/2025 04:36:05 a. m.
1133,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,439 ppm,,,,12/02/2025 04:37:05 a. m.
1134,,27.4 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,419 ppm,,,,12/02/2025 04:38:05 a. m.
1135,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,449 ppm,,,,12/02/2025 04:39:05 a. m.
1136,,27.4 °C,18.0 °C,13.6 °C,42.7 %,0 ppm,428 ppm,,,,12/02/2025 04:40:05 a. m.
1137,,27.3 °C,18.0 °C,13.5 °C,42.8 %,0 ppm,426 ppm,,,,12/02/2025 04:41:05 a. m.
1138,,27.3 °C,18.0 °C,13.5 °C,42.8 %,0 ppm,445 ppm,,,,12/02/2025 04:42:05 a. m.
1139,,27.3 °C,18.0 °C,13.5 °C,42.8 %,0 ppm,441 ppm,,,,12/02/2025 04:43:05 a. m.
1140,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,443 ppm,,,,12/02/2025 04:44:05 a. m.
1141,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,440 ppm,,,,12/02/2025 04:45:05 a. m.
1142,,27.4 °C,18.0 °C,13.6 °C,42.7 %,1 ppm,437 ppm,,,,12/02/2025 04:46:05 a. m.
1143,,27.4 °C,18.0 °C,13.5 °C,42.6 %,0 ppm,433 ppm,,,,12/02/2025 04:47:05 a. m.
1144,,27.4 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,442 ppm,,,,12/02/2025 04:48:05 a. m.
1145,,27.4 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,437 ppm,,,,12/02/2025 04:49:05 a. m.
1146,,27.4 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,430 ppm,,,,12/02/2025 04:50:05 a. m.
1147,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,434 ppm,,,,12/02/2025 04:51:05 a. m.
1148,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,440 ppm,,,,12/02/2025 04:52:05 a. m.
1149,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,435 ppm,,,,12/02/2025 04:53:05 a. m.
1150,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,429 ppm,,,,12/02/2025 04:54:05 a. m.
1151,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,435 ppm,,,,12/02/2025 04:55:05 a. m.
1152,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,438 ppm,,,,12/02/2025 04:56:05 a. m.
1153,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,435 ppm,,,,12/02/2025 04:57:05 a. m.
1154,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,429 ppm,,,,12/02/2025 04:58:05 a. m.
1155,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,430 ppm,,,,12/02/2025 04:59:05 a. m.
1156,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,441 ppm,,,,12/02/2025 05:00:05 a. m.
1157,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,434 ppm,,,,12/02/2025 05:01:05 a. m.
1158,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,432 ppm,,,,12/02/2025 05:02:05 a. m.
1159,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,421 ppm,,,,12/02/2025 05:03:05 a. m.
1160,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,425 ppm,,,,12/02/2025 05:04:05 a. m.
1161,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,434 ppm,,,,12/02/2025 05:05:05 a. m.
1162,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,444 ppm,,,,12/02/2025 05:06:05 a. m.
1163,,27.2 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,445 ppm,,,,12/02/2025 05:07:05 a. m.
1164,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,432 ppm,,,,12/02/2025 05:08:05 a. m.
1165,,27.3 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,426 ppm,,,,12/02/2025 05:09:05 a. m.
1166,,27.3 °C,18.0 °C,13.5 °C,42.7 %,1 ppm,448 ppm,,,,12/02/2025 05:10:05 a. m.
1167,,27.3 °C,17.9 °C,13.4 °C,42.6 %,0 ppm,432 ppm,,,,12/02/2025 05:11:05 a. m.
1168,,27.3 °C,17.9 °C,13.4 °C,42.6 %,0 ppm,436 ppm,,,,12/02/2025 05:12:05 a. m.
1169,,27.3 °C,17.9 °C,13.4 °C,42.6 %,1 ppm,429 ppm,,,,12/02/2025 05:13:05 a. m.
1170,,27.2 °C,18.0 °C,13.5 °C,42.7 %,0 ppm,437 ppm,,,,12/02/2025 05:14:05 a. m.
1171,,27.2 °C,17.9 °C,13.4 °C,42.7 %,1 ppm,431 ppm,,,,12/02/2025 05:15:05 a. m.
1172,,27.2 °C,17.9 °C,13.4 °C,42.7 %,1 ppm,427 ppm,,,,12/02/2025 05:16:05 a. m.
1173,,27.2 °C,17.9 °C,13.4 °C,42.7 %,0 ppm,436 ppm,,,,12/02/2025 05:17:05 a. m.
1174,,27.3 °C,17.9 °C,13.4 °C,42.6 %,1 ppm,439 ppm,,,,12/02/2025 05:18:05 a. m.
1175,,27.3 °C,17.9 °C,13.4 °C,42.6 %,1 ppm,432 ppm,,,,12/02/2025 05:19:05 a. m.
1176,,27.2 °C,17.9 °C,13.4 °C,42.6 %,0 ppm,435 ppm,,,,12/02/2025 05:20:05 a. m.
1177,,27.3 °C,17.9 °C,13.4 °C,42.7 %,0 ppm,432 ppm,,,,12/02/2025 05:21:05 a. m.
1178,,27.2 °C,17.9 °C,13.4 °C,42.6 %,1 ppm,428 ppm,,,,12/02/2025 05:22:05 a. m.
1179,,27.2 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,424 ppm,,,,12/02/2025 05:23:05 a. m.
1180,,27.2 °C,17.9 °C,13.4 °C,42.7 %,0 ppm,434 ppm,,,,12/02/2025 05:24:05 a. m.
1181,,27.2 °C,17.9 °C,13.4 °C,42.7 %,1 ppm,435 ppm,,,,12/02/2025 05:25:05 a. m.
1182,,27.2 °C,17.9 °C,13.4 °C,42.7 %,0 ppm,442 ppm,,,,12/02/2025 05:26:05 a. m.
1183,,27.2 °C,17.9 °C,13.4 °C,42.7 %,1 ppm,436 ppm,,,,12/02/2025 05:27:05 a. m.
1184,,27.2 °C,17.9 °C,13.4 °C,42.6 %,1 ppm,447 ppm,,,,12/02/2025 05:28:05 a. m.
1185,,27.2 °C,17.9 °C,13.4 °C,42.7 %,1 ppm,425 ppm,,,,12/02/2025 05:29:05 a. m.
1186,,27.2 °C,17.9 °C,13.4 °C,42.7 %,0 ppm,441 ppm,,,,12/02/2025 05:30:05 a. m.
1187,,27.2 °C,17.9 °C,13.4 °C,42.7 %,1 ppm,432 ppm,,,,12/02/2025 05:31:05 a. m.
1188,,27.2 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,442 ppm,,,,12/02/2025 05:32:05 a. m.
1189,,27.2 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,428 ppm,,,,12/02/2025 05:33:05 a. m.
1190,,27.2 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,427 ppm,,,,12/02/2025 05:34:05 a. m.
1191,,27.2 °C,17.9 °C,13.4 °C,42.6 %,0 ppm,424 ppm,,,,12/02/2025 05:35:05 a. m.
1192,,27.2 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,435 ppm,,,,12/02/2025 05:36:05 a. m.
1193,,27.2 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,432 ppm,,,,12/02/2025 05:37:05 a. m.
1194,,27.2 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,447 ppm,,,,12/02/2025 05:38:05 a. m.
1195,,27.2 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,436 ppm,,,,12/02/2025 05:39:05 a. m.
1196,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,448 ppm,,,,12/02/2025 05:40:05 a. m.
1197,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,418 ppm,,,,12/02/2025 05:41:05 a. m.
1198,,27.2 °C,17.9 °C,13.4 °C,42.6 %,0 ppm,438 ppm,,,,12/02/2025 05:42:05 a. m.
1199,,27.2 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,427 ppm,,,,12/02/2025 05:43:05 a. m.
1200,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,424 ppm,,,,12/02/2025 05:44:05 a. m.
1201,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,420 ppm,,,,12/02/2025 05:45:05 a. m.
1202,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,423 ppm,,,,12/02/2025 05:46:05 a. m.
1203,,27.1 °C,17.8 °C,13.3 °C,42.7 %,0 ppm,435 ppm,,,,12/02/2025 05:47:05 a. m.
1204,,27.2 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,426 ppm,,,,12/02/2025 05:48:05 a. m.
1205,,27.2 °C,17.8 °C,13.3 °C,42.5 %,0 ppm,432 ppm,,,,12/02/2025 05:49:05 a. m.
1206,,27.1 °C,17.7 °C,13.2 °C,42.5 %,1 ppm,433 ppm,,,,12/02/2025 05:50:05 a. m.
1207,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,438 ppm,,,,12/02/2025 05:51:05 a. m.
1208,,27.2 °C,17.8 °C,13.3 °C,42.5 %,0 ppm,435 ppm,,,,12/02/2025 05:52:05 a. m.
1209,,27.1 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,431 ppm,,,,12/02/2025 05:53:05 a. m.
1210,,27.1 °C,17.7 °C,13.2 °C,42.6 %,1 ppm,441 ppm,,,,12/02/2025 05:54:05 a. m.
1211,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,434 ppm,,,,12/02/2025 05:55:05 a. m.
1212,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,428 ppm,,,,12/02/2025 05:56:05 a. m.
1213,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,442 ppm,,,,12/02/2025 05:57:05 a. m.
1214,,27.1 °C,17.7 °C,13.2 °C,42.6 %,1 ppm,434 ppm,,,,12/02/2025 05:58:05 a. m.
1215,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,434 ppm,,,,12/02/2025 05:59:05 a. m.
1216,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,427 ppm,,,,12/02/2025 06:00:05 a. m.
1217,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,440 ppm,,,,12/02/2025 06:01:05 a. m.
1218,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,431 ppm,,,,12/02/2025 06:02:05 a. m.
1219,,27.1 °C,17.8 °C,13.3 °C,42.7 %,0 ppm,431 ppm,,,,12/02/2025 06:03:05 a. m.
1220,,27.1 °C,17.8 °C,13.3 °C,42.7 %,0 ppm,420 ppm,,,,12/02/2025 06:04:05 a. m.
1221,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,429 ppm,,,,12/02/2025 06:05:05 a. m.
1222,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,438 ppm,,,,12/02/2025 06:06:05 a. m.
1223,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,432 ppm,,,,12/02/2025 06:07:05 a. m.
1224,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,443 ppm,,,,12/02/2025 06:08:05 a. m.
1225,,27.1 °C,17.7 °C,13.2 °C,42.5 %,1 ppm,426 ppm,,,,12/02/2025 06:09:05 a. m.
1226,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,422 ppm,,,,12/02/2025 06:10:05 a. m.
1227,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,438 ppm,,,,12/02/2025 06:11:05 a. m.
1228,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,415 ppm,,,,12/02/2025 06:12:05 a. m.
1229,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,433 ppm,,,,12/02/2025 06:13:05 a. m.
1230,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,429 ppm,,,,12/02/2025 06:14:05 a. m.
1231,,27.0 °C,17.7 °C,13.2 °C,42.6 %,1 ppm,429 ppm,,,,12/02/2025 06:15:05 a. m.
1232,,27.0 °C,17.7 °C,13.2 °C,42.7 %,0 ppm,427 ppm,,,,12/02/2025 06:16:05 a. m.
1233,,27.0 °C,17.7 °C,13.2 °C,42.7 %,0 ppm,432 ppm,,,,12/02/2025 06:17:05 a. m.
1234,,27.0 °C,17.7 °C,13.2 °C,42.7 %,0 ppm,426 ppm,,,,12/02/2025 06:18:05 a. m.
1235,,27.1 °C,17.8 °C,13.3 °C,42.6 %,0 ppm,434 ppm,,,,12/02/2025 06:19:05 a. m.
1236,,27.0 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,436 ppm,,,,12/02/2025 06:20:05 a. m.
1237,,27.1 °C,17.8 °C,13.3 °C,42.6 %,1 ppm,430 ppm,,,,12/02/2025 06:21:05 a. m.
1238,,27.0 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,436 ppm,,,,12/02/2025 06:22:05 a. m.
1239,,27.0 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,430 ppm,,,,12/02/2025 06:23:05 a. m.
1240,,27.0 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,429 ppm,,,,12/02/2025 06:24:05 a. m.
1241,,27.1 °C,17.7 °C,13.2 °C,42.5 %,0 ppm,442 ppm,,,,12/02/2025 06:25:05 a. m.
1242,,27.0 °C,17.6 °C,13.1 °C,42.5 %,0 ppm,432 ppm,,,,12/02/2025 06:26:05 a. m.
1243,,27.0 °C,17.6 °C,13.1 °C,42.5 %,1 ppm,426 ppm,,,,12/02/2025 06:27:05 a. m.
1244,,27.0 °C,17.6 °C,13.1 °C,42.5 %,0 ppm,424 ppm,,,,12/02/2025 06:28:05 a. m.
1245,,27.0 °C,17.6 °C,13.1 °C,42.6 %,0 ppm,424 ppm,,,,12/02/2025 06:29:05 a. m.
1246,,27.0 °C,17.7 °C,13.2 °C,42.6 %,1 ppm,427 ppm,,,,12/02/2025 06:30:05 a. m.
1247,,27.0 °C,17.6 °C,13.1 °C,42.6 %,0 ppm,433 ppm,,,,12/02/2025 06:31:05 a. m.
1248,,27.0 °C,17.7 °C,13.1 °C,42.5 %,0 ppm,426 ppm,,,,12/02/2025 06:32:05 a. m.
1249,,27.0 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,432 ppm,,,,12/02/2025 06:33:05 a. m.
1250,,27.0 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,429 ppm,,,,12/02/2025 06:34:05 a. m.
1251,,27.0 °C,17.7 °C,13.2 °C,42.6 %,1 ppm,439 ppm,,,,12/02/2025 06:35:05 a. m.
1252,,27.0 °C,17.7 °C,13.1 °C,42.6 %,0 ppm,442 ppm,,,,12/02/2025 06:36:05 a. m.
1253,,27.0 °C,17.6 °C,13.1 °C,42.6 %,0 ppm,440 ppm,,,,12/02/2025 06:37:05 a. m.
1254,,27.0 °C,17.7 °C,13.1 °C,42.5 %,1 ppm,431 ppm,,,,12/02/2025 06:38:05 a. m.
1255,,27.0 °C,17.6 °C,13.1 °C,42.5 %,0 ppm,441 ppm,,,,12/02/2025 06:39:05 a. m.
1256,,27.0 °C,17.6 °C,13.1 °C,42.6 %,0 ppm,425 ppm,,,,12/02/2025 06:40:05 a. m.
1257,,27.0 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,435 ppm,,,,12/02/2025 06:41:05 a. m.
1258,,27.0 °C,17.6 °C,13.1 °C,42.6 %,0 ppm,436 ppm,,,,12/02/2025 06:42:05 a. m.
1259,,27.0 °C,17.7 °C,13.1 °C,42.5 %,0 ppm,436 ppm,,,,12/02/2025 06:43:05 a. m.
1260,,27.0 °C,17.7 °C,13.2 °C,42.6 %,1 ppm,437 ppm,,,,12/02/2025 06:44:05 a. m.
1261,,27.0 °C,17.6 °C,13.1 °C,42.5 %,0 ppm,437 ppm,,,,12/02/2025 06:45:05 a. m.
1262,,27.0 °C,17.6 °C,13.1 °C,42.5 %,0 ppm,430 ppm,,,,12/02/2025 06:46:05 a. m.
1263,,27.0 °C,17.7 °C,13.1 °C,42.5 %,0 ppm,423 ppm,,,,12/02/2025 06:47:05 a. m.
1264,,27.0 °C,17.7 °C,13.2 °C,42.6 %,1 ppm,426 ppm,,,,12/02/2025 06:48:05 a. m.
1265,,27.0 °C,17.6 °C,13.1 °C,42.5 %,0 ppm,437 ppm,,,,12/02/2025 06:49:05 a. m.
1266,,27.0 °C,17.7 °C,13.2 °C,42.6 %,1 ppm,444 ppm,,,,12/02/2025 06:50:05 a. m.
1267,,27.0 °C,17.7 °C,13.2 °C,42.6 %,0 ppm,427 ppm,,,,12/02/2025 06:51:05 a. m.
1268,,27.0 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,433 ppm,,,,12/02/2025 06:52:05 a. m.
1269,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,439 ppm,,,,12/02/2025 06:53:05 a. m.
1270,,27.0 °C,17.7 °C,13.1 °C,42.5 %,0 ppm,430 ppm,,,,12/02/2025 06:54:05 a. m.
1271,,27.0 °C,17.7 °C,13.1 °C,42.5 %,0 ppm,426 ppm,,,,12/02/2025 06:55:05 a. m.
1272,,27.0 °C,17.6 °C,13.1 °C,42.5 %,1 ppm,429 ppm,,,,12/02/2025 06:56:05 a. m.
1273,,27.0 °C,17.7 °C,13.1 °C,42.6 %,1 ppm,427 ppm,,,,12/02/2025 06:57:05 a. m.
1274,,27.0 °C,17.7 °C,13.1 °C,42.5 %,1 ppm,426 ppm,,,,12/02/2025 06:58:05 a. m.
1275,,27.0 °C,17.7 °C,13.1 °C,42.4 %,0 ppm,420 ppm,,,,12/02/2025 06:59:05 a. m.
1276,,27.0 °C,17.7 °C,13.1 °C,42.5 %,1 ppm,430 ppm,,,,12/02/2025 07:00:05 a. m.
1277,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,434 ppm,,,,12/02/2025 07:01:05 a. m.
1278,,27.0 °C,17.6 °C,13.1 °C,42.5 %,1 ppm,419 ppm,,,,12/02/2025 07:02:05 a. m.
1279,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,446 ppm,,,,12/02/2025 07:03:05 a. m.
1280,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,442 ppm,,,,12/02/2025 07:04:05 a. m.
1281,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,427 ppm,,,,12/02/2025 07:05:05 a. m.
1282,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,441 ppm,,,,12/02/2025 07:06:05 a. m.
1283,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,434 ppm,,,,12/02/2025 07:07:05 a. m.
1284,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,414 ppm,,,,12/02/2025 07:08:05 a. m.
1285,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,433 ppm,,,,12/02/2025 07:09:05 a. m.
1286,,26.9 °C,17.7 °C,13.1 °C,42.5 %,0 ppm,440 ppm,,,,12/02/2025 07:10:05 a. m.
1287,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,430 ppm,,,,12/02/2025 07:11:05 a. m.
1288,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,431 ppm,,,,12/02/2025 07:12:05 a. m.
1289,,27.0 °C,17.7 °C,13.1 °C,42.5 %,1 ppm,426 ppm,,,,12/02/2025 07:13:05 a. m.
1290,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,427 ppm,,,,12/02/2025 07:14:05 a. m.
1291,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,434 ppm,,,,12/02/2025 07:15:05 a. m.
1292,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,433 ppm,,,,12/02/2025 07:16:05 a. m.
1293,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,436 ppm,,,,12/02/2025 07:17:05 a. m.
1294,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,437 ppm,,,,12/02/2025 07:18:05 a. m.
1295,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,427 ppm,,,,12/02/2025 07:19:05 a. m.
1296,,26.9 °C,17.6 °C,13.0 °C,42.5 %,1 ppm,432 ppm,,,,12/02/2025 07:20:05 a. m.
1297,,26.9 °C,17.6 °C,13.0 °C,42.5 %,1 ppm,445 ppm,,,,12/02/2025 07:21:05 a. m.
1298,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,442 ppm,,,,12/02/2025 07:22:05 a. m.
1299,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,424 ppm,,,,12/02/2025 07:23:05 a. m.
1300,,26.9 °C,17.6 °C,13.0 °C,42.5 %,1 ppm,436 ppm,,,,12/02/2025 07:24:05 a. m.
1301,,26.9 °C,17.6 °C,13.0 °C,42.5 %,1 ppm,432 ppm,,,,12/02/2025 07:25:05 a. m.
1302,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,426 ppm,,,,12/02/2025 07:26:05 a. m.
1303,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,431 ppm,,,,12/02/2025 07:27:05 a. m.
1304,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,427 ppm,,,,12/02/2025 07:28:05 a. m.
1305,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,446 ppm,,,,12/02/2025 07:29:05 a. m.
1306,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,444 ppm,,,,12/02/2025 07:30:05 a. m.
1307,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,430 ppm,,,,12/02/2025 07:31:05 a. m.
1308,,26.9 °C,17.6 °C,13.0 °C,42.5 %,1 ppm,432 ppm,,,,12/02/2025 07:32:05 a. m.
1309,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,430 ppm,,,,12/02/2025 07:33:05 a. m.
1310,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,436 ppm,,,,12/02/2025 07:34:05 a. m.
1311,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,430 ppm,,,,12/02/2025 07:35:05 a. m.
1312,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,422 ppm,,,,12/02/2025 07:36:05 a. m.
1313,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,429 ppm,,,,12/02/2025 07:37:05 a. m.
1314,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,443 ppm,,,,12/02/2025 07:38:05 a. m.
1315,,26.9 °C,17.6 °C,13.0 °C,42.4 %,0 ppm,436 ppm,,,,12/02/2025 07:39:05 a. m.
1316,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,426 ppm,,,,12/02/2025 07:40:05 a. m.
1317,,26.9 °C,17.6 °C,13.0 °C,42.5 %,0 ppm,439 ppm,,,,12/02/2025 07:41:05 a. m.
1318,,26.9 °C,17.6 °C,13.0 °C,42.4 %,1 ppm,420 ppm,,,,12/02/2025 07:42:05 a. m.
